ID, ideology, leadership, name, party, description, introduced_bills_99, cosponsored_bills_99, unique_cosponsors_99, total_cosponsors_99
401568, 0.415014889275, 0.199695054568, Boland, Democrat, moderate Democratic follower, 12, 281, 2, 12
407196, 0.750245489232, 0.0402352341422, Martin [NY26], Republican, moderate Republican follower, 1, 262, 13, 13
407700, 0.786007496143, 0.17815905516, Miller [OH10], Republican, moderate Republican follower, 5, 140, 43, 48
406530, 1.0, 0.466674996189, Lagomarsino, Republican, far-right Republican, 20, 820, 104, 141
407519, 0.441585279688, 0.647411261835, McKinney, Republican, centrist Republican leader, 12, 336, 122, 195
410147, 0.864789296221, 0.673012678584, Solomon, Republican, far-right Republican leader, 29, 305, 136, 173
400571, 0.926954957863, 0.435485568902, Bliley, Republican, far-right Republican, 11, 420, 165, 255
403314, 0.317003230462, 0.448521992586, de Lugo, Democrat, rank-and-file Democrat, 6, 420, 189, 200
408621, 0.384332667183, 0.983199875195, Pepper, Democrat, moderate Democratic leader, 75, 361, 397, 2088
407676, 0.755116616594, 0.686406728391, Michel, Republican, moderate Republican leader, 37, 104, 381, 857
408109, 0.57298202384, 0.600078754427, Neal, Democrat, centrist Democrat, 51, 479, 273, 435
411912, 0.506948501065, 0.712923970235, Wright, Democrat, moderate Democratic leader, 38, 104, 349, 583
406351, 0.948161316154, 0.490702007072, Kindness, Republican, far-right Republican, 20, 450, 177, 263
407899, 0.792129459515, 0.492666578059, Moorhead, Republican, rank-and-file Republican, 11, 275, 28, 39
400239, 0.785459580885, 0.531054733399, Lewis [CA35], Republican, rank-and-file Republican, 8, 275, 248, 306
400365, 0.767024821898, 0.301077155518, Sensenbrenner, Republican, rank-and-file Republican, 10, 215, 90, 113
400192, 0.833670384079, 0.704260304669, Hyde, Republican, moderate Republican leader, 19, 425, 306, 540
411405, 0.968575720987, 0.41089072787, Weber, Republican, far-right Republican, 10, 431, 137, 158
411725, 0.673901415591, 0.0360438692709, Wilson, Democrat, centrist Democratic follower, 10, 546, 3, 3
403545, 0.842547523163, 0.663439256768, Dornan, Republican, far-right Republican leader, 70, 558, 301, 764
411566, 0.818697405507, 0.73666469494, Whitehurst, Republican, moderate Republican leader, 19, 367, 234, 297
405598, 0.821201431956, 0.435231908064, Holt, Republican, rank-and-file Republican, 22, 424, 42, 47
401418, 0.34926703493, 1.0, Biaggi, Democrat, moderate Democratic leader, 108, 587, 359, 2212
404097, 0.542017891146, 0.776950169121, Fish, Republican, centrist Republican leader, 41, 689, 347, 899
407306, 0.48534351116, 0.608273232392, Mazzoli, Democrat, rank-and-file Democrat, 8, 197, 290, 458
400504, 0.909850342485, 0.270908411597, Stump, Republican, far-right Republican, 7, 214, 115, 128
405353, 0.740980842475, 0.457265943433, Hendon, Republican, rank-and-file Republican, 8, 289, 272, 302
400439, 0.795077092901, 0.344055721303, Young [FL8], Republican, rank-and-file Republican, 23, 345, 29, 32
404068, 0.857656093412, 0.525820622966, Fields, Republican, far-right Republican, 12, 233, 36, 51
410261, 0.843590585209, 0.546098957043, Stangeland, Republican, far-right Republican, 25, 322, 275, 385
406968, 0.762498005092, 0.768975525581, Lowery, Republican, moderate Republican leader, 23, 232, 371, 877
408506, 0.773335537858, 0.453643365521, Pashayan, Republican, rank-and-file Republican, 17, 236, 43, 50
