id,total_votes,missed_votes,percent,percentile,first_vote_date,last_vote_date
300056,13771,2223,16.1426185462,99.0196078431,1963-01-31,1996-10-03
300059,13715,2151,15.683558148,98.0392156863,1963-01-31,1996-10-03
300008,10603,1353,12.76053947,97.0588235294,1973-01-23,1996-10-03
405212,12588,1414,11.2329202415,96.0784313725,1967-01-18,1996-10-03
409917,4368,417,9.5467032967,95.0980392157,1985-01-29,1996-10-03
408420,11771,1006,8.5464276612,94.1176470588,1969-01-06,1995-09-29
300053,12720,1085,8.52987421384,93.137254902,1967-01-18,1996-10-03
300094,12144,1004,8.2674571805,92.1568627451,1969-01-06,1996-10-03
408939,7041,577,8.19485868485,91.1764705882,1979-02-22,1996-10-03
406084,10609,869,8.19115845037,90.1960784314,1973-01-23,1996-10-03
408597,14172,1090,7.69122212814,89.2156862745,1961-01-11,1996-10-03
402004,9477,685,7.22802574654,88.2352941176,1975-01-27,1996-10-03
401709,7038,503,7.14691673771,87.2549019608,1979-02-22,1996-10-03
404598,9488,643,6.77698145025,86.2745098039,1975-01-27,1996-10-03
300150,5985,405,6.76691729323,85.2941176471,1981-01-20,1996-10-03
408898,7042,466,6.61743822778,84.3137254902,1979-02-22,1996-10-03
300036,10604,653,6.15805356469,83.3333333333,1973-01-23,1996-10-03
300159,4369,262,5.9967956054,82.3529411765,1985-01-29,1996-10-03
300034,5981,349,5.83514462464,81.3725490196,1981-01-20,1996-10-03
400563,8187,459,5.60644924881,80.3921568627,1977-01-14,1996-10-03
403515,12065,638,5.28802320763,79.4117647059,1969-01-06,1996-06-06
300051,4368,226,5.17399267399,78.431372549,1985-01-29,1996-10-03
406188,7039,362,5.14277596249,77.4509803922,1979-02-22,1996-10-03
400561,2831,139,4.90992582126,76.4705882353,1989-01-25,1996-10-03
300065,9470,460,4.85744456177,75.4901960784,1975-01-27,1996-10-03
300154,10598,508,4.79335723721,74.5098039216,1973-01-23,1996-10-03
404281,148,7,4.72972972973,73.5294117647,1996-06-13,1996-10-03
409923,7040,328,4.65909090909,72.5490196078,1979-02-22,1996-10-03
300010,3629,161,4.43648387986,71.568627451,1987-01-06,1996-10-03
