ID, ideology, leadership, name, party, description, introduced_bills_104, cosponsored_bills_104, unique_cosponsors_104, total_cosponsors_104
408976, 0.631946006099, 0.475375337871, Quillen, Republican, centrist Republican, 26, 131, 0, 0
406431, 0.739486904907, 0.657932021576, Klug, Republican, rank-and-file Republican, 14, 222, 237, 389
404996, 0.436206887286, 0.665695183223, Hamilton, Democrat, rank-and-file Democrat, 12, 109, 71, 77
400246, 0.227703275617, 0.759051082688, Lowey, Democrat, moderate Democratic leader, 35, 337, 156, 463
411947, 0.160889567354, 0.5078491742, Yates, Democrat, far-left Democrat, 8, 244, 27, 27
400420, 0.586924374709, 0.422877951851, Walsh, Republican, centrist Republican, 6, 171, 81, 86
400539, 0.308026847923, 0.653659427381, Sawyer, Democrat, rank-and-file Democrat, 3, 95, 206, 206
400386, 0.40672788111, 0.405598246747, Spratt, Democrat, rank-and-file Democrat, 8, 134, 140, 147
408839, 0.512192835021, 0.0994668450154, Poshard, Democrat, centrist Democratic follower, 5, 167, 0, 0
408553, 0.804092273928, 0.321292547919, Paxon, Republican, rank-and-file Republican, 3, 157, 37, 43
407672, 0.217194819701, 0.371731670338, Mfume, Democrat, far-left Democrat, 6, 62, 11, 11
400590, 0.642915566037, 0.262783031334, Kasich, Republican, centrist Republican, 20, 74, 27, 33
407817, 0.605379659139, 0.736239194319, Molinari, Republican, centrist Republican leader, 15, 202, 160, 192
400080, 0.161818197965, 0.712047492473, Conyers, Democrat, far-left Democratic leader, 8, 175, 90, 108
300156, 0.341960666907, 0.727204621942, Torricelli, Democrat, moderate Democratic leader, 20, 212, 100, 171
400333, 0.11889361039, 0.851925972042, Rangel, Democrat, far-left Democratic leader, 17, 202, 148, 277
400295, 0.0489759480212, 0.639223527519, Norton, Democrat, far-left Democrat, 31, 377, 77, 106
400536, 0.470045584856, 1.0, Gilman, Republican, centrist Republican leader, 48, 179, 335, 874
400268, 0.354453606573, 0.518453636205, McNulty, Democrat, rank-and-file Democrat, 7, 110, 91, 95
400595, 0.235398535673, 0.583646623697, Martínez, Democrat, rank-and-file Democrat, 7, 208, 40, 55
300087, 0.258629911047, 0.848995196141, Schumer, Democrat, moderate Democratic leader, 52, 176, 136, 302
400534, 0.693183404165, 0.232596869408, Skeen, Republican, moderate Republican follower, 8, 183, 35, 43
400003, 0.177856734473, 0.696340857883, Ackerman, Democrat, far-left Democratic leader, 10, 450, 246, 317
400409, 0.159558880531, 0.667696037655, Towns, Democrat, far-left Democrat, 15, 223, 6, 9
400609, 0.460872617434, 0.49692216279, Sisisky, Democrat, rank-and-file Democrat, 0, 94, 0, 0
400238, 0.329547638827, 0.706886032674, Levin, Democrat, moderate Democratic leader, 4, 114, 177, 182
406284, 0.255579410759, 0.853976445204, Kennelly, Democrat, moderate Democratic leader, 18, 139, 247, 486
400262, 0.173469639678, 0.707537137827, McDermott, Democrat, far-left Democratic leader, 11, 255, 109, 190
407669, 0.733863001585, 0.771408480188, Meyers, Republican, moderate Republican leader, 19, 211, 197, 278
400143, 0.232546888052, 0.177628783548, Frost, Democrat, moderate Democratic follower, 3, 484, 43, 47
400425, 0.173265327443, 0.838756589355, Waxman, Democrat, far-left Democratic leader, 5, 229, 253, 313
400359, 0.723428992793, 0.766279391645, Saxton, Republican, moderate Republican leader, 24, 267, 255, 396
400314, 0.0633969492604, 0.687400405957, Pelosi, Democrat, far-left Democrat, 4, 300, 118, 139
404009, 0.697704031276, 0.820483502518, Fawell, Republican, moderate Republican leader, 16, 97, 163, 327
400243, 0.377643727875, 0.576016883962, Lipinski, Democrat, rank-and-file Democrat, 17, 491, 22, 34
410147, 0.936312132881, 0.917976760473, Solomon, Republican, far-right Republican leader, 125, 339, 394, 1219
411677, 0.35993590158, 0.658378561215, Williams, Democrat, rank-and-file Democrat, 20, 100, 20, 21
405939, 0.469743586802, 0.822930520475, Jacobs, Democrat, moderate Democratic leader, 50, 296, 130, 222
400398, 0.8065504445, 0.671135919773, Taylor [NC11], Republican, rank-and-file Republican, 7, 206, 300, 318
400174, 0.850212830452, 0.801955724692, Hefley, Republican, far-right Republican leader, 30, 152, 330, 786
402657, 0.667730705949, 0.70390653076, Clinger, Republican, moderate Republican leader, 25, 143, 244, 479
400126, 0.126189691152, 0.686496337638, Evans, Democrat, far-left Democrat, 15, 422, 150, 408
400023, 0.682997569799, 0.749914424061, Bereuter, Republican, moderate Republican leader, 24, 234, 162, 227
400156, 0.877258435222, 0.761256428826, Goss, Republican, far-right Republican leader, 57, 172, 269, 363
400113, 0.98716598839, 0.632869033389, Doolittle, Republican, far-right Republican, 14, 235, 105, 166
400058, 0.735701173964, 0.684750567352, Camp, Republican, rank-and-file Republican, 7, 182, 166, 200
400332, 0.698678968097, 0.793552458104, Ramstad, Republican, moderate Republican leader, 8, 128, 51, 64
404013, 0.262509980311, 0.721813872855, Fazio, Democrat, moderate Democratic leader, 17, 189, 115, 136
410496, 0.242816920569, 0.71340635155, Studds, Democrat, moderate Democratic leader, 13, 110, 155, 205
400191, 0.831044732754, 0.527277315076, Hunter, Republican, far-right Republican, 11, 183, 150, 222
400552, 0.718551842601, 0.493325511696, Hansen, Republican, rank-and-file Republican, 25, 134, 82, 142
400603, 0.520031640976, 0.213770620868, Pickett, Democrat, centrist Democratic follower, 17, 129, 10, 11
400176, 0.913770537555, 0.618040919175, Herger, Republican, far-right Republican, 15, 248, 222, 347
400116, 0.797288020514, 0.812598820681, Duncan, Republican, moderate Republican leader, 18, 170, 190, 299
400239, 0.656024181461, 0.463520624407, Lewis [CA40], Republican, rank-and-file Republican, 5, 102, 40, 42
400401, 0.71499545694, 0.702284127032, Thomas, Republican, moderate Republican leader, 44, 88, 235, 447
408556, 0.483004917436, 0.536589237294, Payne [VA5], Democrat, centrist Democrat, 2, 161, 23, 23
400226, 0.760543560762, 0.663070971604, Kolbe, Republican, rank-and-file Republican, 2, 124, 125, 125
409205, 0.268370420081, 0.790811320026, Richardson, Democrat, moderate Democratic leader, 19, 147, 123, 235
