ID, ideology, leadership, name, party, description, introduced_bills_101, cosponsored_bills_101, unique_cosponsors_101, total_cosponsors_101
300048, 0.751875695542, 0.634527819194, Grassley, Republican, far-right Republican leader, 39, 384, 98, 326
408898, 0.650276373965, 0.54421322144, Pressler, Republican, rank-and-file Republican, 39, 313, 95, 324
402004, 0.344241099237, 0.455694678612, Bumpers, Democrat, rank-and-file Democrat, 29, 297, 49, 91
408939, 0.44253498071, 0.70790234126, Pryor, Democrat, centrist Democratic leader, 62, 349, 96, 828
403171, 0.617406572982, 0.625047217015, Danforth, Republican, rank-and-file Republican, 33, 214, 94, 257
300023, 0.758680749544, 0.469549501119, Cochran, Republican, far-right Republican, 15, 449, 85, 229
300079, 0.933028241495, 0.395804889905, Nickles, Republican, far-right Republican, 14, 136, 61, 81
300005, 0.433515884845, 0.591573817836, Baucus, Democrat, rank-and-file Democrat, 62, 187, 100, 474
300052, 0.726387412018, 0.815283826251, Hatch, Republican, moderate Republican leader, 55, 421, 96, 373
407268, 0.201796262186, 0.485254539434, Matsunaga, Democrat, rank-and-file Democrat, 35, 314, 80, 205
401709, 0.202700181419, 0.762198681246, Bradley, Democrat, moderate Democratic leader, 57, 358, 99, 676
405795, 0.731515957162, 0.553933678858, Humphrey, Republican, rank-and-file Republican, 18, 183, 72, 170
400559, 0.654366015842, 0.402639157573, Gorton, Republican, rank-and-file Republican, 22, 373, 74, 122
402412, 0.423290669547, 0.570095053148, Chafee, Republican, centrist Republican, 39, 402, 95, 436
408597, 0.102190333973, 0.693998489652, Pell, Democrat, far-left Democratic leader, 83, 512, 100, 711
400563, 0.184685840907, 0.848835851853, Moynihan, Democrat, moderate Democratic leader, 135, 429, 99, 623
407663, 0.180118176891, 0.612425780406, Metzenbaum, Democrat, rank-and-file Democrat, 47, 356, 77, 306
401611, 0.66484052225, 0.661759911191, Boschwitz, Republican, moderate Republican leader, 78, 452, 98, 806
409225, 0.18152887585, 0.783176470758, Riegle, Democrat, moderate Democratic leader, 69, 381, 100, 732
300159, 0.874017641772, 0.242750744294, Gramm, Republican, lonley far-right Republican follower, 11, 152, 21, 23
403515, 0.617104792833, 1.0, Dole, Republican, moderate Republican leader, 83, 442, 100, 1043
300016, 0.459375391421, 0.657743057285, Byrd, Democrat, centrist Democrat, 15, 117, 89, 284
300056, 0.174878106032, 0.58478254486, Inouye, Democrat, rank-and-file Democrat, 98, 522, 100, 424
405212, 0.319665993166, 0.400759455225, Hatfield, Republican, centrist Republican, 32, 235, 77, 178
409917, 0.0730239067257, 0.834155840679, Simon, Democrat, far-left Democratic leader, 78, 541, 99, 1093
300053, 0.472724045794, 0.616295659226, Hollings, Democrat, centrist Democrat, 39, 400, 98, 424
300065, 0.175799113284, 0.579848454974, Leahy, Democrat, rank-and-file Democrat, 30, 199, 88, 323
300009, 0.21094523492, 0.401638323041, Bingaman, Democrat, rank-and-file Democrat, 52, 259, 56, 130
405321, 0.337784104761, 0.831680665154, Heinz, Republican, centrist Republican leader, 100, 364, 98, 552
300086, 0.0961550942184, 0.456343070563, Sarbanes, Democrat, far-left Democrat, 13, 275, 86, 222
300092, 0.392749524423, 0.583397362049, Specter, Republican, centrist Republican, 37, 262, 92, 365
403346, 0.425123584979, 0.890197043219, DeConcini, Democrat, moderate Democratic leader, 86, 508, 96, 807
300034, 0.121543850021, 0.563102106539, Dodd, Democrat, far-left Democrat, 55, 439, 82, 434
406190, 0.680929177753, 0.53117286873, Kasten, Republican, rank-and-file Republican, 36, 304, 96, 386
404219, 0.472135831892, 0.385799418397, Ford, Democrat, centrist Democrat, 61, 184, 80, 169
402990, 0.159240147384, 0.872670623147, Cranston, Democrat, far-left Democratic leader, 131, 444, 94, 806
300084, 0.182904012575, 0.559838521266, Rockefeller, Democrat, rank-and-file Democrat, 26, 283, 96, 477
403669, 0.481802469781, 0.700689393374, Durenberger, Republican, centrist Republican leader, 30, 436, 91, 233
300099, 0.674624449067, 0.445868270427, Warner, Republican, rank-and-file Republican, 16, 348, 49, 67
406188, 0.57700733771, 0.434268984692, Kassebaum, Republican, rank-and-file Republican, 28, 343, 87, 216
