"name" "district" "lat" "lon" "lead" "ideo" "sess"
"1" "John Conyers" "MI-01" "46.1650522700332" "-86.48099799809" 0.654233988218 0 93
"2" "Philip Crane" "IL-12" "37.9898672551004" "-89.4322909549952" 0.778666847925 0.716263778249 93
"3" "John Dingell" "MI-16" "na" "na" 0.84813377403 0.503884863785 93
"4" "John Murtha" "PA-12" "40.4226146752435" "-79.4892723586361" 0.403451230259 0.561300708827 93
"5" "David Obey" "WI-07" "45.6999947181625" "-90.6618795559786" 0.76617833231 0.46616324733 93
"6" "Charles Rangel" "NY-19" "42.2146871808774" "-74.4208970976536" 0.90815923198 0.154156674687 93
"7" "Ralph Regula" "OH-16" "40.9729980640546" "-81.7383568897815" 0.65682195092 0.731776230143 93
"8" "Bill Shuster" "PA-09" "40.1438979450552" "-78.673402206074" 0.194375071613 0.648783927909 93
"9" "Fortney Stark" "CA-08" "35.6754301685338" "-116.811825247924" 0.66173548166 0.131089492261 93
"10" "C. W. Young" "FL-06" "29.4548473850308" "-81.3414527382862" 0.484060085887 0.858124859361 93
"11" "Donald Young" "AK-00" "63.74299141491" "-151.593418341031" 0.296279491094 0.705730279519 93
"12" "John Breaux" "LA-07" "na" "na" 0.802520770445 0.652407676446 93
"13" "Thad Cochran" "MS-04" "30.9883539064199" "-89.0761902406185" 0.114287961091 0.697466782263 93
"14" "Trent Lott" "MS-05" "na" "na" 0.640469872932 0.877939372419 93
"15" "Paul Sarbanes" "MD-03" "39.1594607176648" "-76.6755076475472" 0.405022581794 0.298017365473 93
"16" "Benjamin Gilman" "NY-26" "42.9614056076425" "-78.8414888835429" 0.650114885942 0.707632315011 93
"17" "Patsy Mink" "HI-02" "20.9662156063655" "-158.070760485812" 0.689634505277 0.254424017037 93
"18" "Bill Archer" "TX-07" "29.7934756629733" "-95.6057793360232" 0.551755110969 0.879619323913 93
"19" "George Brown" "CA-38" "33.9407539627332" "-118.061648484613" 0.734156907703 0.277132675294 93
"20" "John Moakley" "MA-09" "41.694177807355" "-70.4814767316925" 0.583435419045 0.163258312598 93
"21" "Floyd Spence" "SC-02" "33.6379942188236" "-81.374629879763" 0.446921726072 0.747522545549 93
"22" "James Abdnor" "SD-02" "na" "na" 0.424290899163 0.802711961139 93
"23" "Bella Abzug" "NY-20" "42.748254330987" "-73.9917913707401" 0.807035408563 0.0296427769301 93
"24" "Brockman Adams" "WA-07" "47.579614105776" "-122.391133020036" 0.552775084388 0.393152351535 93
"25" "Joseph Addabbo" "NY-07" "40.688481952527" "-73.9487986867915" 0.61001354025 0.362116444164 93
"26" "Carl Albert" "OK-03" "36.1210809816869" "-98.8388413793842" 0.0405532974706 0.488916765434 93
"27" "William Alexander" "AR-01" "35.3019949628948" "-91.2468445269996" 0.628600094477 0.646203668186 93
"28" "Glenn Anderson" "CA-35" "34.0467402723671" "-117.588223903286" 0.834229300234 0.451722582721 93
"29" "John Anderson" "IL-16" "41.3946020105764" "-88.7999989158851" 0.851133545535 0.757665425591 93
"30" "Ike Andrews" "NC-04" "35.7103509937874" "-78.9915180370298" 0.728053279287 0.529660085763 93
"31" "Mark Andrews" "ND-00" "47.4463144298287" "-100.469332757507" 0.00310948001381 0.665485777721 93
"32" "Frank Annunzio" "IL-11" "41.6439324415185" "-88.146444631284" 0.636683621204 0.497082839885 93
"33" "Leslie Arends" "IL-15" "38.9106043807598" "-88.4355613232039" 0.377676716651 0.581754000088 93
"34" "William Armstrong" "CO-05" "38.8216619000802" "-105.338342634561" 0.131509017363 0.591507097821 93
"35" "John Ashbrook" "OH-17" "na" "na" 0.556531580921 0.624746056714 93
"36" "Thomas Ashley" "OH-09" "41.6174984410315" "-82.5645647731099" 0.470842836394 0.377888777512 93
"37" "Leslie Aspin" "WI-01" "42.6957706275291" "-88.0464998531785" 0.80075330063 0.428016059017 93
"38" "Herman Badillo" "NY-21" "44.017622748347" "-74.5960338570565" 0.696391642951 0.0343010442135 93
"39" "Louis Bafalis" "FL-10" "28.5159188790797" "-81.7377795152477" 0.699079732402 0.958873192841 93
"40" "LaMar Baker" "TN-03" "35.7654779871749" "-84.5036911248176" 0.746396296353 0.909798196334 93
"41" "William Barrett" "PA-01" "39.9286270903171" "-75.212943757337" 0.458295509873 0.527427129811 93
"42" "Robert Bauman" "MD-01" "38.7671339971302" "-75.981462723589" 0.374762698842 0.721766805574 93
"43" "Robin Beard" "TN-06" "36.1996473649429" "-85.7814144399995" 0.396567071195 0.740177019124 93
