"name" "district" "lat" "lon" "lead" "ideo" "sess"
"1" "Gary Ackerman" "NY-05" "40.5989978174321" "-73.8230285201481" 0.641762770173 0.286702114559 112
"2" "Robert Aderholt" "AL-04" "34.1196659889658" "-87.20027649199" 0.162967940703 0.721580605171 112
"3" "W. Akin" "MO-02" "38.6035732835933" "-90.5340268120008" 0.560076535714 0.899411603967 112
"4" "Rodney Alexander" "LA-05" "31.7677445936913" "-91.8249105010194" 0.251735796552 0.736858540681 112
"5" "Robert Andrews" "NJ-01" "39.7917662235594" "-75.057794726189" 0.52007395438 0.323283504976 112
"6" "Joe Baca" "CA-43" "33.903637029787" "-118.335205252279" 0.888970744249 0.320242491292 112
"7" "Spencer Bachus" "AL-06" "33.2633795814094" "-86.7129813389673" 0.385195728854 0.795310985428 112
"8" "Tammy Baldwin" "WI-02" "42.9834167757917" "-89.7477842429426" 0.73705159907 0.199578306744 112
"9" "Roscoe Bartlett" "MD-06" "39.499099508291" "-78.3876422642537" 0.608705391213 0.860463941459 112
"10" "Joe Barton" "TX-06" "32.2308156262336" "-96.6747241191297" 0.556495340351 0.754954694763 112
"11" "Charles Bass" "NH-02" "43.7692552700434" "-71.7187242615671" 0.333357188963 0.549102968981 112
"12" "Xavier Becerra" "CA-31" "34.109706133249" "-117.353283399404" 0.607052451898 0.300651431232 112
"13" "Shelley Berkley" "NV-01" "36.1375795227554" "-115.152238430084" 0.727140660978 0.298619260258 112
"14" "Howard Berman" "CA-28" "34.2497547105175" "-118.291019026334" 0.833278827463 0.217882695901 112
"15" "Judy Biggert" "IL-13" "39.5120555056848" "-89.5194144339928" 0.625874678511 0.613298992054 112
"16" "Sanford Bishop" "GA-02" "31.8210381671495" "-84.4114590171722" 0.557299663802 0.363205507472 112
"17" "Timothy Bishop" "NY-01" "40.9802453024696" "-72.5516955209033" 0.640139861294 0.273545155347 112
"18" "Rob Bishop" "UT-01" "40.9447558246233" "-111.328374784849" 0.535186057131 0.893635882205 112
"19" "Marsha Blackburn" "TN-07" "35.6365698364259" "-87.8322935499382" 0.716344947837 0.955573426669 112
"20" "Earl Blumenauer" "OR-03" "45.3931378986761" "-122.204104793413" 0.673322997138 0.170685879487 112
"21" "John Boehner" "OH-08" "39.9038151674641" "-84.4155376713683" 0.603669494235 0.632866270074 112
