id,total_votes,missed_votes,percent,percentile,first_vote_date,last_vote_date
400080,16981,3558,20.9528296331,99.7711670481,1965-01-04,2000-12-15
402626,16292,2801,17.1924871102,99.5423340961,1969-01-03,2000-12-15
400440,15199,2480,16.3168629515,99.3135011442,1973-03-14,2000-12-15
400597,3741,563,15.0494520182,99.0846681922,1995-01-04,2000-12-15
400572,15880,2196,13.8287153652,98.8558352403,1963-01-09,1999-07-16
400409,9394,1239,13.1892697466,98.6270022883,1983-01-03,2000-12-15
400201,5795,743,12.8213977567,98.3981693364,1991-01-03,2000-12-15
400085,16117,1895,11.7577712974,98.1693363844,1969-12-01,2000-12-15
400608,3741,427,11.4140604117,97.9405034325,1995-01-04,2000-12-15
400425,14227,1606,11.2883953047,97.7116704805,1975-01-14,2000-12-15
400595,9704,1085,11.1809563067,97.4828375286,1982-07-15,2000-12-15
400146,13011,1454,11.1751594804,97.2540045767,1977-01-04,2000-12-15
400387,15295,1694,11.0755148741,97.0251716247,1973-01-03,2000-12-15
400208,1214,131,10.7907742998,96.7963386728,1999-01-06,2000-12-15
400522,2401,257,10.7038733861,96.5675057208,1997-01-07,2000-12-15
400573,4713,489,10.3755569701,96.3386727689,1989-01-03,2000-12-15
400271,1750,180,10.2857142857,96.1098398169,1998-02-11,2000-12-15
400333,15862,1614,10.1752616316,95.881006865,1971-01-21,2000-12-15
400306,9423,944,10.0180409636,95.652173913,1983-01-03,2000-12-15
400067,2394,238,9.94152046784,95.4233409611,1997-01-21,2000-12-15
400580,11431,1133,9.9116437757,95.1945080092,1979-01-15,2000-12-08
400003,9427,930,9.86528057707,94.9656750572,1983-01-03,2000-12-15
400350,4862,477,9.81077745784,94.7368421053,1993-01-05,2000-12-15
400021,4863,471,9.68537939543,94.5080091533,1993-01-05,2000-12-15
400577,2401,232,9.66264056643,94.2791762014,1997-01-07,2000-12-15
400600,15329,1414,9.22434601083,94.0503432494,1973-01-03,2000-12-15
400110,18127,1641,9.05279417444,93.8215102975,1956-01-31,2000-12-15
400025,9422,826,8.76671619614,93.5926773455,1983-01-03,2000-12-15
400170,4863,425,8.73946123792,93.3638443936,1993-01-05,2000-12-15
400143,11504,982,8.53616133519,93.1350114416,1979-01-15,2000-12-15
400278,14248,1195,8.38714205503,92.9061784897,1975-01-14,2000-12-15
400243,9430,783,8.3032873807,92.6773455378,1983-01-03,2000-12-15
400538,11514,952,8.26819524058,92.4485125858,1979-01-15,2000-12-15
400286,15356,1246,8.11409221151,92.2196796339,1973-01-03,2000-12-15
400575,3741,303,8.09943865277,91.9908466819,1995-01-04,2000-12-15
400088,3741,300,8.01924619086,91.76201373,1995-01-04,2000-12-15
400130,3741,295,7.88559208768,91.533180778,1995-01-04,2000-12-15
400327,4863,383,7.87579683323,91.3043478261,1993-01-05,2000-12-15
400122,6699,514,7.67278698313,91.0755148741,1989-01-03,2000-12-15
406863,11335,865,7.63123070137,90.8466819222,1977-09-08,1999-02-25
400317,2401,179,7.45522698875,90.6178489703,1997-01-07,2000-12-15
400239,11464,849,7.40579204466,90.3890160183,1979-01-15,2000-12-15
400422,5795,425,7.33390854185,90.1601830664,1991-01-03,2000-12-15
400596,10233,731,7.14355516466,89.9313501144,1981-01-05,2000-12-15
400018,8518,605,7.1026062456,89.7025171625,1985-01-03,2000-12-15
400231,10222,717,7.01428291919,89.4736842105,1981-01-05,2000-12-15
400591,4863,340,6.99156899034,89.2448512586,1993-01-05,2000-12-15
400337,2401,164,6.83048729696,89.0160183066,1997-01-07,2000-12-15
400397,10602,719,6.78173929447,88.7871853547,1980-05-22,2000-12-15
400311,5875,398,6.77446808511,88.5583524027,1976-04-07,2000-12-15
400593,3742,250,6.68091929449,88.3295194508,1994-11-29,2000-12-15
400163,4863,324,6.66255397903,88.1006864989,1993-01-05,2000-12-15
400540,9658,642,6.64733899358,87.8718535469,1977-01-04,2000-12-15
400426,1214,80,6.58978583196,87.643020595,1999-01-06,2000-12-15
400614,9430,620,6.57476139979,87.414187643,1983-01-03,2000-12-15
400439,15977,1044,6.53439319021,87.1853546911,1971-01-21,2000-12-15
400211,9413,614,6.52289387018,86.9565217391,1983-01-03,2000-12-15
400138,2401,156,6.49729279467,86.7276887872,1997-01-07,2000-12-15
400401,11428,742,6.49282464123,86.4988558352,1979-01-15,2000-12-15
400552,10206,659,6.45698608662,86.2700228833,1981-01-05,2000-12-15
400511,4863,313,6.43635615875,86.0411899314,1993-01-05,2000-12-15
400582,3741,240,6.41539695269,85.8123569794,1995-01-04,2000-12-15
400179,2401,154,6.4139941691,85.3546910755,1997-01-07,2000-12-15
400217,2401,154,6.4139941691,85.3546910755,1997-01-07,2000-12-15
400083,6697,429,6.40585336718,85.1258581236,1989-01-03,2000-12-15
400188,7631,486,6.3687590093,84.8970251716,1987-01-06,2000-12-15
400043,9432,598,6.3401187447,84.6681922197,1983-01-03,2000-12-15
400527,13013,817,6.27833704757,84.4393592677,1977-01-04,2000-12-15
400576,3741,232,6.2015503876,84.2105263158,1995-01-04,2000-12-15
400502,4863,301,6.18959490027,83.9816933638,1993-01-05,2000-12-15
400586,14291,882,6.17171646491,83.7528604119,1975-01-14,2000-12-15
400428,7635,466,6.10347085789,83.52402746,1987-01-06,2000-12-15
400261,7085,430,6.0691601976,83.295194508,1988-04-27,2000-12-15
400048,4863,295,6.06621427103,83.0663615561,1993-01-05,2000-12-15
400009,610,37,6.06557377049,82.8375286041,1999-11-18,2000-12-15
400268,6699,406,6.06060606061,82.6086956522,1989-01-03,2000-12-15
400012,7635,454,5.94629993451,82.3798627002,1987-01-06,2000-12-15
400312,6691,395,5.90345239874,82.1510297483,1989-01-03,2000-12-15
400366,6284,368,5.85614258434,81.9221967963,1990-03-28,2000-12-15
400203,2401,140,5.83090379009,81.6933638444,1997-01-07,2000-12-15
400377,13035,755,5.79209819716,81.4645308924,1977-01-04,2000-12-15
400379,2401,139,5.7892544773,81.2356979405,1997-01-07,2000-12-15
400191,10238,584,5.7042391092,81.0068649886,1981-01-05,2000-12-15
400157,2401,135,5.62265722616,80.7780320366,1997-01-07,2000-12-15
400537,14277,802,5.61742663024,80.5491990847,1975-01-14,2000-12-15
400314,7471,414,5.54142685049,80.3203661327,1987-06-09,2000-12-15
400160,4863,268,5.51100143944,80.0915331808,1993-01-05,2000-12-15
400291,6699,369,5.50828481863,79.8627002288,1989-01-03,2000-12-15
400612,12936,708,5.47309833024,79.6338672769,1977-01-04,2000-10-06
400501,2401,131,5.45605997501,79.4050343249,1997-01-07,2000-12-15
400569,9282,503,5.41909071321,79.176201373,1983-01-03,2000-09-07
400430,2401,130,5.41441066222,78.9473684211,1997-01-07,2000-12-15
400402,4727,255,5.39454199281,78.7185354691,1993-04-20,2000-12-15
400554,10192,549,5.38657770801,78.4897025172,1965-01-04,2000-12-15
400398,5795,311,5.36669542709,78.2608695652,1991-01-03,2000-12-15
400253,13045,700,5.36604062859,78.0320366133,1977-01-04,2000-12-15
400262,6698,357,5.32994923858,77.8032036613,1989-01-03,2000-12-15
400583,4863,256,5.26424018096,77.5743707094,1993-01-05,2000-12-15
400140,10240,537,5.244140625,77.3455377574,1981-01-05,2000-12-15
400594,4863,255,5.24367674275,77.1167048055,1993-01-05,2000-12-15
400139,1826,95,5.2026286966,76.8878718535,1997-11-05,2000-12-15
400059,2401,123,5.12286547272,76.6590389016,1997-01-07,2000-12-15
400393,1214,62,5.10708401977,76.4302059497,1999-01-06,2000-12-15
400192,14283,728,5.096968424,76.2013729977,1975-01-14,2000-12-15
400578,4863,247,5.0791692371,75.9725400458,1993-01-05,2000-12-15
400281,9426,478,5.07107999151,75.7437070938,1983-01-03,2000-12-15
400302,9414,475,5.0456766518,75.5148741419,1983-01-03,2000-12-15
400584,4863,245,5.03804236068,75.2860411899,1993-01-05,2000-12-15
400008,5795,291,5.02157031924,75.057208238,1991-01-03,2000-12-15
400109,13043,648,4.96818216668,74.828375286,1977-01-04,2000-12-15
400513,4863,241,4.95578860786,74.5995423341,1993-01-05,2000-12-15
400307,10079,497,4.9310447465,74.3707093822,1981-07-21,2000-12-15
400330,3741,184,4.91847099706,74.1418764302,1995-01-04,2000-12-15
