"name" "district" "lat" "lon" "lead" "ideo" "sess"
"1" "Neil Abercrombie" "HI-01" "21.3239157838318" "-157.903124702714" 0.444107714315 0.164532946267 104
"2" "Gary Ackerman" "NY-05" "40.5989978174321" "-73.8230285201481" 0.696340857883 0.177856734473 104
"3" "Robert Andrews" "NJ-01" "39.7917662235594" "-75.057794726189" 0.673603923706 0.41112183855 104
"4" "Spencer Bachus" "AL-06" "33.2633795814094" "-86.7129813389673" 0.408070875315 0.84277880237 104
"5" "Richard Baker" "LA-06" "30.3029355747908" "-91.0178089441493" 0.549435733356 0.950353659187 104
"6" "Cass Ballenger" "NC-10" "35.4319173597144" "-81.6349392275802" 0.733172558585 0.919830033925 104
"7" "Roscoe Bartlett" "MD-06" "39.499099508291" "-78.3876422642537" 0.59555504824 0.917926465679 104
"8" "Joe Barton" "TX-06" "32.2308156262336" "-96.6747241191297" 0.804216855258 0.841308264501 104
"9" "Charles Bass" "NH-02" "43.7692552700434" "-71.7187242615671" 0.281056238528 0.64797477951 104
"10" "Xavier Becerra" "CA-30" "34.2025201837" "-118.545061408317" 0.193817087382 0.296161960671 104
"11" "Douglas Bereuter" "NE-01" "41.3775643036052" "-96.8308922818834" 0.749914424061 0.682997569799 104
"12" "Howard Berman" "CA-26" "34.1693314817539" "-119.127097186739" 0.567379984031 0.18371881652 104
"13" "Michael Bilirakis" "FL-09" "28.1169164499269" "-81.1953835372735" 0.971075807594 0.653515615503 104
"14" "Sanford Bishop" "GA-02" "31.8210381671495" "-84.4114590171722" 0.113194964201 0.41638246002 104
"15" "Earl Blumenauer" "OR-03" "45.3931378986761" "-122.204104793413" 0.0090208336164 0.492312861029 104
"16" "Sherwood Boehlert" "NY-23" "42.3400507958034" "-77.8422094155328" 0.580760697655 0.533794127526 104
"17" "John Boehner" "OH-08" "39.9038151674641" "-84.4155376713683" 0.354639589263 0.935315835368 104
"18" "Henry Bonilla" "TX-23" "30.3792986859269" "-102.362910510223" 0.301881508324 0.743191256845 104
"19" "Frederick Boucher" "VA-09" "36.9922797683722" "-81.3196344993231" 0.570536698491 0.40758715167 104
"20" "Corrine Brown" "FL-03" "29.8356349111658" "-82.7367891944301" 0.334783472487 0.322939235389 104
"21" "Sherrod Brown" "OH-13" "41.156279700554" "-80.9701823059061" 0.457561298281 0.414115600638 104
"22" "Richard Burr" "NC-05" "36.1410607004924" "-80.9687747193931" 0.52846849898 0.693366302155 104
"23" "Dan Burton" "IN-06" "39.4812408394759" "-85.3629353776345" 0.743868511084 0.849142243028 104
"24" "Stephen Buyer" "IN-05" "40.2539658773809" "-85.8612124712171" 0.545340108089 0.690002592364 104
"25" "Ken Calvert" "CA-43" "33.903637029787" "-118.335205252279" 0.415231591781 0.869368670156 104
"26" "David Camp" "MI-04" "43.7351386863897" "-84.7505223278411" 0.684750567352 0.735701173964 104
"27" "Benjamin Cardin" "MD-03" "39.1594607176648" "-76.6755076475472" 0.759175491626 0.326417572699 104
"28" "Michael Castle" "DE-00" "38.9949749580094" "-75.4524919340093" 0.568446802553 0.654471370371 104
"29" "Steven Chabot" "OH-01" "39.3365016958851" "-84.3455416369746" 0.435834848905 0.653895607917 104
"30" "James Clyburn" "SC-06" "33.2168836531116" "-80.5255731333724" 0.269928545956 0.359529430615 104
"31" "Howard Coble" "NC-06" "36.3071373810865" "-79.6806512930652" 0.281425467251 0.786485339594 104
"32" "Michael Collins" "GA-03" "33.1482786710304" "-84.733181681986" 0.599705777114 0.762114991773 104
"33" "Larry Combest" "TX-19" "33.2449737247107" "-101.217297394011" 0.688397039926 0.797944072083 104
"34" "John Conyers" "MI-14" "42.4680041650902" "-83.151172757907" 0.712047492473 0.161818197965 104
"35" "Jerry Costello" "IL-12" "37.9898672551004" "-89.4322909549952" 0.265007279104 0.433180801562 104
"36" "C. Cox" "CA-47" "33.2706749597697" "-118.40823572009" 0.839288548617 0.9024168834 104
"37" "Robert Cramer" "AL-05" "34.7538810867267" "-86.711613392702" 0.103115862285 0.501281627547 104
"38" "Philip Crane" "IL-08" "42.0078594322216" "-88.0969811870097" 0.76567478285 0.88687351737 104
"39" "Barbara Cubin" "WY-00" "42.9996265929804" "-107.551451470331" 0.0858508965391 0.670193889747 104
"40" "Elijah Cummings" "MD-07" "39.4022166107625" "-76.7955875838034" 0.00265473590041 0.455184614485 104
"41" "Randall Cunningham" "CA-51" "32.9923999975982" "-115.524511502778" 0.550534968192 0.8698648032 104
"42" "Thomas Davis" "VA-11" "38.788109972765" "-77.294793770784" 0.632965960428 0.629733811992 104
"43" "Peter DeFazio" "OR-04" "43.4812026772606" "-123.260907721359" 0.611001892391 0.222547415784 104
"44" "Rosa DeLauro" "CT-03" "41.3802981486862" "-72.8785336637587" 0.662090359336 0.212142720311 104
"45" "Thomas DeLay" "TX-22" "29.517526670059" "-95.6832589382697" 0.667698774394 0.866653443067 104
"46" "Nathan Deal" "GA-09" "34.5064682206211" "-83.6874981771865" 0.161914070754 0.662979845763 104
"47" "Peter Deutsch" "FL-20" "26.5118801838403" "-80.6796373815459" 0.379642965952 0.397402436131 104
"48" "Lincoln Diaz-Balart" "FL-21" "26.4744475852573" "-80.2060391610868" 0.219642656452 0.556041212892 104
"49" "Norman Dicks" "WA-06" "47.6531764908418" "-123.621960655726" 0.11014707388 0.35334260161 104
"50" "John Dingell" "MI-16" "na" "na" 0.462793005462 0.389559024319 104
"51" "Lloyd Doggett" "TX-10" "29.9709200694898" "-96.5959899070195" 0.0106164769776 0.492468886714 104
