ID, ideology, leadership, name, party, description, introduced_bills_113, cosponsored_bills_113, unique_cosponsors_113, total_cosponsors_113
400245, 0.255539892394, 0.733799485415, Lofgren, Democrat, moderate Democratic leader, 16, 470, 275, 394
400021, 0.385830992184, 0.440864479785, Becerra, Democrat, rank-and-file Democrat, 15, 84, 21, 22
400033, 0.204148004224, 0.66084472751, Blumenauer, Democrat, far-left Democratic leader, 22, 508, 198, 488
400124, 0.318607776158, 0.723799625323, Eshoo, Democrat, moderate Democratic leader, 7, 360, 76, 99
400154, 0.809162189577, 0.854850948616, Goodlatte, Republican, moderate Republican leader, 16, 175, 334, 864
400185, 0.151426814559, 0.594748077668, Honda, Democrat, far-left Democrat, 36, 643, 148, 425
400654, 0.80597686604, 0.738220202848, McCaul, Republican, moderate Republican leader, 16, 266, 372, 485
400278, 0.240662085256, 0.706127140146, Miller [CA11], Democrat, far-left Democratic leader, 29, 258, 211, 991
400291, 0.405767428933, 0.560224859028, Neal, Democrat, rank-and-file Democrat, 9, 203, 59, 84
400378, 0.22993308799, 0.659138478841, Slaughter, Democrat, far-left Democratic leader, 21, 454, 202, 738
400403, 0.387249600696, 0.756818652492, Thompson [CA5], Democrat, moderate Democratic leader, 15, 299, 263, 661
400087, 0.329555266534, 0.669416453586, Crowley, Democrat, moderate Democratic leader, 19, 220, 232, 415
400030, 0.406594456801, 0.502114248679, Bishop [GA2], Democrat, rank-and-file Democrat, 4, 265, 151, 163
400062, 0.227877913651, 0.693527227829, Capps, Democrat, far-left Democratic leader, 27, 266, 183, 448
400063, 0.281210382556, 0.494428778366, Capuano, Democrat, rank-and-file Democrat, 22, 325, 126, 196
412236, 0.184315441158, 0.60958974092, Cohen, Democrat, far-left Democrat, 34, 578, 130, 276
412193, 0.32552725522, 0.735641945466, Courtney, Democrat, moderate Democratic leader, 9, 340, 325, 817
400097, 0.282902983216, 0.606639173637, Davis [CA53], Democrat, rank-and-file Democrat, 26, 297, 186, 345
400101, 0.288744158384, 0.688935281147, DeGette, Democrat, moderate Democratic leader, 11, 212, 108, 149
