id,total_votes,missed_votes,percent,percentile,first_vote_date,last_vote_date
400128,1216,495,40.7072368421,99.77827051,1993-02-03,2010-12-16
400041,792,174,21.9696969697,99.55654102,2007-02-08,2010-12-16
400080,23943,4311,18.0052624984,99.3348115299,1965-01-04,2010-12-22
400440,22161,3428,15.4686160372,99.1130820399,1973-03-14,2010-12-22
412306,321,44,13.707165109,98.8913525499,2009-01-15,2010-12-16
400350,11824,1588,13.4303112314,98.6696230599,1993-01-05,2010-12-22
400016,5966,779,13.0573248408,98.4478935698,2003-01-07,2010-12-22
412259,2167,278,12.8287955699,98.2261640798,2008-04-10,2010-12-22
400073,792,98,12.3737373737,98.0044345898,2007-02-08,2010-12-16
400387,22255,2587,11.6243540777,97.7827050998,1973-01-03,2010-12-22
400163,11814,1365,11.5540883697,97.5609756098,1993-01-05,2010-12-22
400409,16356,1812,11.0785033015,97.3392461197,1983-01-03,2010-12-22
400330,10703,1057,9.87573577502,97.1175166297,1995-01-04,2010-12-22
400311,12837,1251,9.74526758588,96.8957871397,1976-04-07,2010-12-22
400425,21189,2045,9.65123413092,96.6740576497,1975-01-14,2010-12-22
400179,9363,890,9.50550037381,96.4523281596,1997-01-07,2010-12-22
400170,11825,1121,9.4799154334,96.2305986696,1993-01-05,2010-12-22
400392,6409,603,9.40864409424,96.0088691796,2002-02-27,2010-12-22
400333,22824,2145,9.39800210305,95.7871396896,1971-01-21,2010-12-22
412277,1655,150,9.06344410876,95.5654101996,2009-01-06,2010-12-22
412312,321,28,8.72274143302,95.3436807095,2009-01-15,2010-12-16
400003,16389,1428,8.7131612667,95.1219512195,1983-01-03,2010-12-22
400092,5966,518,8.68253436138,94.9002217295,2003-01-07,2010-12-22
400048,11825,1012,8.55813953488,94.6784922395,1993-01-05,2010-12-22
400102,9363,799,8.53358966143,94.4567627494,1997-01-07,2010-12-22
412230,3531,300,8.49617672048,94.2350332594,2007-01-04,2010-12-22
400051,5966,496,8.31377807576,94.0133037694,2003-01-07,2010-12-22
400286,21702,1800,8.29416643627,93.7915742794,1973-01-03,2010-02-04
400337,9363,768,8.20249919897,93.5698447894,1997-01-07,2010-12-22
400430,8699,712,8.1848488332,93.3481152993,1997-01-07,2009-12-16
400130,10703,870,8.1285620854,93.1263858093,1995-01-04,2010-12-22
400056,11825,954,8.06765327696,92.9046563193,1993-01-05,2010-12-22
400025,16384,1321,8.06274414062,92.6829268293,1983-01-03,2010-12-22
400029,5966,479,8.02883003688,92.4611973392,2003-01-07,2010-12-22
400166,10611,844,7.95400998963,92.2394678492,1993-01-05,2010-12-22
400656,4745,372,7.83983140148,92.0177383592,2005-01-04,2010-12-22
400271,8712,680,7.80532598714,91.7960088692,1998-02-11,2010-12-22
412011,4127,322,7.80227768355,91.5742793792,2005-12-08,2010-12-22
400651,4745,369,7.77660695469,91.3525498891,2005-01-04,2010-12-22
400110,25089,1949,7.76834469289,91.1308203991,1956-01-31,2010-12-22
400422,12757,983,7.70557341068,90.9090909091,1991-01-03,2010-12-22
400074,6962,533,7.65584602126,90.6873614191,2001-01-03,2010-12-22
400295,1216,93,7.64802631579,90.465631929,1993-02-03,2010-12-16
400278,21210,1615,7.61433286186,90.243902439,1975-01-14,2010-12-22
412385,460,35,7.60869565217,90.022172949,2010-04-15,2010-12-22
400122,13661,1038,7.59827245443,89.800443459,1989-01-03,2010-12-22
400659,4745,358,7.54478398314,89.578713969,2005-01-04,2010-12-22
400439,22939,1726,7.52430358778,89.3569844789,1971-01-21,2010-12-22
400021,11825,879,7.4334038055,89.1352549889,1993-01-05,2010-12-22
400217,9363,695,7.42283456157,88.9135254989,1997-01-07,2010-12-22
412382,798,59,7.39348370927,88.6917960089,2009-11-05,2010-12-22
400312,13653,985,7.21453160478,88.4700665188,1989-01-03,2010-12-22
400277,8166,589,7.21283370071,88.2483370288,1999-01-06,2010-12-22
400215,10703,770,7.19424460432,88.0266075388,1995-01-04,2010-12-22
400627,4745,325,6.84931506849,87.8048780488,2005-01-04,2010-12-22
400240,14596,943,6.4606741573,87.5831485588,1987-01-06,2010-12-22
400379,9363,602,6.4295631742,87.3614190687,1997-01-07,2010-12-22
400302,16376,1050,6.4118221788,87.1396895787,1983-01-03,2010-12-22
412268,1655,106,6.40483383686,86.9179600887,2009-01-06,2010-12-22
400157,9363,589,6.29071878671,86.6962305987,1997-01-07,2010-12-22
412221,3531,219,6.20220900595,86.4745011086,2007-01-04,2010-12-22
412315,1655,102,6.16314199396,86.2527716186,2009-01-06,2010-12-22
400423,6808,416,6.11045828437,86.0310421286,2001-06-07,2010-12-22
400018,15480,943,6.09173126615,85.8093126386,1985-01-03,2010-12-22
412234,3531,214,6.06060606061,85.5875831486,2007-01-04,2010-12-22
400008,12757,772,6.05157952497,85.3658536585,1991-01-03,2010-12-22
400355,5966,359,6.01743211532,85.1441241685,2003-01-07,2010-12-22
400635,4745,285,6.00632244468,84.9223946785,2005-01-04,2010-12-22
400206,12650,758,5.99209486166,84.7006651885,1991-05-22,2010-12-22
400239,18426,1104,5.99153370238,84.4789356984,1979-01-15,2010-12-22
400099,11329,676,5.96698737753,84.2572062084,1993-01-05,2010-03-21
400043,16394,975,5.94729779188,84.0354767184,1983-01-03,2010-12-22
400421,10703,627,5.85817060637,83.8137472284,1995-01-04,2010-12-22
400182,11825,691,5.84355179704,83.5920177384,1993-01-05,2010-12-22
400034,9363,546,5.83146427427,83.3702882483,1997-01-07,2010-12-22
412223,1905,111,5.82677165354,83.1485587583,2007-01-04,2009-01-22
412215,3531,203,5.74907958086,82.9268292683,2007-01-04,2010-12-22
400089,6962,400,5.74547543809,82.7050997783,2001-01-03,2010-12-22
400270,5966,341,5.71572242709,82.4833702882,2003-01-07,2010-12-22
400093,9363,529,5.64989853679,82.2616407982,1997-01-07,2010-12-22
400211,16375,925,5.64885496183,82.0399113082,1983-01-03,2010-12-22
400367,9363,527,5.6285378618,81.8181818182,1997-01-07,2010-12-22
400291,13661,767,5.61452309494,81.5964523282,1989-01-03,2010-12-22
400283,12757,709,5.55773300933,81.3747228381,1991-01-03,2010-12-22
400162,5966,330,5.53134428428,81.1529933481,2003-01-07,2010-12-22
412232,3531,195,5.52251486831,80.9312638581,2007-01-04,2010-12-22
400047,8548,471,5.51006083294,80.7095343681,1998-05-21,2010-12-22
412208,3531,192,5.4375531011,80.487804878,2007-01-04,2010-12-22
400641,4745,258,5.4373024236,80.266075388,2005-01-04,2010-12-22
400281,16388,891,5.43690505248,80.044345898,1983-01-03,2010-12-22
400233,8176,439,5.36937377691,79.822616408,1999-01-06,2010-12-22
412227,3531,188,5.32427074483,79.600886918,2007-01-04,2010-12-22
400344,13452,716,5.32262860541,79.3791574279,1989-05-17,2010-12-22
400385,10329,533,5.16022848291,79.1574279379,1995-01-04,2010-05-20
400356,9363,479,5.11588166186,78.9356984479,1997-01-07,2010-12-22
400055,16384,838,5.11474609375,78.7139689579,1983-01-03,2010-12-22
400378,14598,746,5.1102890807,78.4922394678,1987-01-06,2010-12-22
412253,2683,136,5.06895266493,78.2705099778,2007-09-04,2010-12-22
400426,8176,414,5.06360078278,78.0487804878,1999-01-06,2010-12-22
412216,3531,177,5.01274426508,77.8270509978,2007-01-04,2010-12-22
400199,10703,532,4.97056899935,77.6053215078,1995-01-04,2010-12-22
400207,6962,346,4.96983625395,77.3835920177,2001-01-03,2010-12-22
400314,11190,554,4.9508489723,77.1618625277,1987-06-09,2010-12-22
400204,11825,582,4.92177589852,76.9401330377,1993-01-05,2010-12-22
400178,11825,579,4.89640591966,76.7184035477,1993-01-05,2010-12-22
400391,11825,577,4.87949260042,76.4966740576,1993-01-05,2010-12-22
400068,5966,290,4.86087831043,76.2749445676,2003-01-07,2010-12-22
400001,12251,595,4.85674638805,76.0532150776,1986-09-23,2010-02-26
