ID, ideology, leadership, name, party, description, introduced_bills_107, cosponsored_bills_107, unique_cosponsors_107, total_cosponsors_107
400374, 0.549917510647, 0.693901781522, Shuster [PA9], Republican, centrist Republican, 2, 1, 2, 2
400123, 0.835348118186, 0.910838749999, English, Republican, far-right Republican leader, 50, 540, 417, 1447
400174, 0.847024249616, 0.759686294497, Hefley, Republican, far-right Republican leader, 31, 236, 203, 303
400059, 0.788686858744, 0.622857069088, Cannon, Republican, rank-and-file Republican, 17, 178, 250, 330
400273, 0.750087942204, 0.507152089638, Mica, Republican, rank-and-file Republican, 8, 155, 52, 59
400133, 0.1578701362, 0.633177774844, Filner, Democrat, far-left Democratic leader, 26, 824, 256, 593
400428, 0.679832764523, 0.698042768902, Weldon [PA7], Republican, rank-and-file Republican, 9, 211, 164, 206
400078, 0.801719336804, 0.692232642171, Collins, Republican, rank-and-file Republican, 27, 123, 270, 493
400034, 0.88244055916, 0.753205116579, Blunt, Republican, far-right Republican leader, 11, 222, 220, 315
400073, 0.150853576173, 0.177209916243, Christensen, Democrat, lonely far-left Democratic , 14, 423, 37, 48
400219, 0.602235682429, 0.755073474545, King, Republican, centrist Republican leader, 27, 315, 352, 1260
400514, 0.900321113788, 0.727757923523, Barr, Republican, far-right Republican leader, 16, 269, 189, 336
400414, 0.703935552531, 0.827543201681, Upton, Republican, moderate Republican leader, 13, 239, 268, 351
400358, 0.409174535466, 0.326512355232, Sandlin, Democrat, rank-and-file Democrat, 6, 338, 163, 190
400289, 0.134090128011, 0.574586025604, Nadler, Democrat, far-left Democrat, 33, 446, 176, 539
400272, 0.266018310563, 0.483210002636, Menéndez, Democrat, rank-and-file Democrat, 12, 230, 190, 395
400099, 0.821996102406, 0.409474747204, Deal, Republican, rank-and-file Republican, 9, 224, 127, 148
400228, 0.754231145911, 0.446706393056, LaHood, Republican, rank-and-file Republican, 26, 291, 24, 24
400138, 0.271802760095, 0.225982196084, Ford, Democrat, moderate Democratic follower, 7, 281, 43, 44
400160, 0.361324539433, 0.583008344901, Green [TX29], Democrat, rank-and-file Democrat, 26, 353, 238, 553
400155, 0.531235545504, 0.338736937851, Gordon, Democrat, centrist Democrat, 2, 319, 125, 126
400126, 0.236174514718, 0.804913644492, Evans, Democrat, moderate Democratic leader, 24, 503, 262, 891
400263, 0.142987235453, 0.652993940578, McGovern, Democrat, far-left Democratic leader, 13, 924, 259, 650
400407, 0.151499567792, 0.409889728789, Tierney, Democrat, far-left Democrat, 9, 364, 143, 382
400149, 0.598225725825, 0.55618156745, Gilchrest, Republican, centrist Republican, 22, 193, 194, 270
400080, 0.151195689379, 0.660414451677, Conyers, Democrat, far-left Democratic leader, 26, 366, 238, 1076
400542, 0.284442053096, 0.432777407368, Borski, Democrat, rank-and-file Democrat, 7, 273, 90, 117
400015, 0.814621414178, 0.627716755894, Ballenger, Republican, rank-and-file Republican, 11, 192, 149, 194
400209, 0.881935470108, 0.69719439268, Jones [NC3], Republican, far-right Republican, 23, 312, 263, 548
400197, 0.812611448008, 0.657325064231, Istook, Republican, rank-and-file Republican, 10, 101, 174, 284
400183, 0.459523602741, 0.313382148953, Holden, Democrat, centrist Democrat, 13, 356, 84, 89
400102, 0.245535838817, 0.544756833492, Delahunt, Democrat, rank-and-file Democrat, 8, 302, 262, 351
400023, 0.729568242957, 0.730618166073, Bereuter, Republican, moderate Republican leader, 29, 232, 158, 207
400294, 0.764903040252, 0.447368247589, Northup, Republican, rank-and-file Republican, 3, 140, 100, 112
400242, 0.760624700035, 0.21191910046, Linder, Republican, moderate Republican follower, 32, 109, 53, 64
400317, 0.854686168652, 0.52613525863, Peterson [PA5], Republican, far-right Republican, 7, 237, 42, 61
400528, 0.232443772852, 0.156397747251, Rivers, Democrat, moderate Democratic follower, 20, 472, 35, 47
400518, 0.245088911434, 0.32550776224, Blagojevich, Democrat, rank-and-file Democrat, 9, 428, 16, 16
400302, 0.434382574851, 0.289649280887, Ortiz, Democrat, centrist Democrat, 2, 181, 9, 9
400380, 0.650065408553, 0.863182564542, Smith [NJ4], Republican, moderate Republican leader, 66, 477, 349, 1201
400122, 0.17127674245, 0.65642629193, Engel, Democrat, far-left Democratic leader, 30, 422, 320, 784
400113, 0.9296260429, 0.457283908724, Doolittle, Republican, far-right Republican, 11, 264, 84, 91
400085, 0.800264778763, 0.852281843248, Crane, Republican, moderate Republican leader, 34, 194, 303, 608
400295, 0.0, 0.438354791676, Norton, Democrat, far-left Democrat, 24, 590, 136, 204
400258, 0.324046347486, 0.138052642431, McCarthy [MO5], Democrat, moderate Democratic follower, 20, 353, 34, 61
400058, 0.829524403452, 0.735146679203, Camp, Republican, far-right Republican leader, 28, 232, 321, 790
300047, 0.857298269848, 0.639110795191, Graham, Republican, far-right Republican, 20, 238, 206, 395
400129, 0.226142426981, 0.5710474078, Farr, Democrat, rank-and-file Democrat, 8, 425, 193, 390
400397, 0.737550020831, 0.779311784525, Tauzin, Republican, moderate Republican leader, 30, 117, 182, 300
400322, 0.805131015276, 0.644819284068, Pombo, Republican, rank-and-file Republican, 14, 133, 95, 160
400267, 0.787458812062, 0.600285162374, McKeon, Republican, rank-and-file Republican, 14, 142, 257, 389
400588, 0.769754237189, 0.619449921948, Hutchinson, Republican, rank-and-file Republican, 10, 104, 211, 269
400332, 0.743651181555, 0.676178640244, Ramstad, Republican, rank-and-file Republican, 23, 256, 204, 323
400161, 0.635570341869, 0.836856433059, Greenwood, Republican, moderate Republican leader, 27, 295, 318, 621
400191, 0.747496500175, 0.63883703594, Hunter, Republican, rank-and-file Republican, 22, 132, 158, 276
400344, 0.518025360442, 0.717386786653, Ros-Lehtinen, Republican, centrist Republican, 14, 332, 236, 376
400198, 0.132101826108, 0.359372159194, Jackson, Democrat, far-left Democrat, 13, 319, 62, 117
400268, 0.290110281163, 0.4743068485, McNulty, Democrat, rank-and-file Democrat, 13, 573, 23, 25
