id,total_votes,missed_votes,percent,percentile,first_vote_date,last_vote_date
404679,1537,388,25.2439817827,99.0099009901,1985-01-29,1988-10-18
409917,1537,380,24.7234873129,98.0198019802,1985-01-29,1988-10-18
300059,10884,2075,19.0646821022,97.0297029703,1963-01-31,1988-10-18
300056,10940,2057,18.802559415,96.0396039604,1963-01-31,1988-10-18
406183,768,130,16.9270833333,95.0495049505,1987-03-18,1988-10-18
300008,7772,1264,16.263510036,94.0594059406,1973-01-23,1988-10-18
410315,13441,1805,13.4290603378,93.0693069307,1947-11-26,1988-10-18
405212,9757,1265,12.9650507328,92.0792079208,1967-01-18,1988-10-18
401391,8731,1062,12.1635551483,91.0891089109,1971-02-10,1988-10-18
411421,8721,1057,12.1201697053,90.099009901,1971-02-10,1988-10-18
410242,8515,1021,11.990604815,89.1089108911,1971-06-14,1988-10-18
407355,7774,877,11.2811937227,88.1188118812,1973-01-23,1988-10-18
300053,9889,1044,10.5571847507,87.1287128713,1967-01-18,1988-10-18
402990,9381,986,10.5106065451,86.1386138614,1969-01-06,1988-10-18
408898,4211,436,10.3538351935,85.1485148515,1979-02-22,1988-10-18
408420,9379,951,10.1396737392,84.1584158416,1969-01-06,1988-10-18
406084,7778,787,10.1182823348,83.1683168317,1973-01-23,1988-10-18
300094,9313,914,9.81423816171,82.1782178218,1969-01-06,1988-10-18
300034,3150,299,9.49206349206,81.1881188119,1981-01-20,1988-10-18
402004,6646,612,9.20854649413,80.198019802,1975-01-27,1988-10-18
404598,6657,604,9.07315607631,79.2079207921,1975-01-27,1988-10-18
408597,11341,1026,9.04682126797,78.2178217822,1961-01-11,1988-10-18
403346,5333,470,8.81305081568,77.2277227723,1977-01-14,1988-10-18
409562,796,70,8.79396984925,76.2376237624,1987-01-06,1988-10-18
411271,5353,470,8.78012329535,75.2475247525,1977-01-14,1988-10-18
402495,8734,753,8.62147927639,74.2574257426,1971-02-10,1988-10-18
300150,3154,269,8.52885225111,73.2673267327,1981-01-20,1988-10-18
403920,1961,166,8.46506884243,72.2772277228,1983-06-16,1988-10-18
404444,6651,542,8.14915050368,71.2871287129,1975-01-27,1988-10-18
300010,798,65,8.14536340852,70.297029703,1987-01-06,1988-10-18
401709,4207,330,7.84406940813,69.3069306931,1979-02-22,1988-10-18
403669,4200,327,7.78571428571,68.3168316832,1979-02-22,1988-10-18
400563,5356,415,7.74831964152,67.3267326733,1977-01-14,1988-10-18
407268,5356,402,7.50560119492,66.3366336634,1977-01-14,1988-10-18
300036,7773,582,7.48745658047,65.3465346535,1973-01-23,1988-10-18
300071,795,59,7.4213836478,64.3564356436,1987-01-06,1988-10-18
405321,5349,391,7.30977752851,63.3663366337,1977-01-14,1988-10-18
400692,798,57,7.14285714286,62.3762376238,1987-01-06,1988-10-18
401604,4199,280,6.66825434627,61.3861386139,1979-02-22,1988-10-18
403515,9382,610,6.50181198039,60.396039604,1969-01-06,1988-10-18
400927,4210,268,6.36579572447,59.4059405941,1979-02-22,1988-10-18
407622,5338,337,6.31322592731,58.4158415842,1977-01-14,1988-10-18
406188,4208,265,6.29752851711,57.4257425743,1979-02-22,1988-10-18
408939,4210,264,6.27078384798,56.4356435644,1979-02-22,1988-10-18
300065,6639,412,6.2057538786,55.4455445545,1975-01-27,1988-10-18
411762,2195,136,6.19589977221,54.4554455446,1983-02-01,1988-10-18
300023,4208,259,6.15494296578,53.4653465347,1979-02-22,1988-10-18
410588,3155,192,6.08557844691,52.4752475248,1981-01-20,1988-10-18
409580,5352,303,5.66143497758,51.4851485149,1977-01-14,1988-10-18
409923,4209,234,5.55951532431,50.495049505,1979-02-22,1988-10-18
402412,5362,286,5.3338306602,49.504950495,1977-01-14,1988-10-18
402023,11405,595,5.2170100833,48.5148514851,1960-08-09,1988-10-18
402727,4206,219,5.20684736091,47.5247524752,1979-02-22,1988-10-18
409225,5344,278,5.20209580838,46.5346534653,1977-01-14,1988-10-18
407663,5886,305,5.18178729188,45.5445544554,1974-01-21,1988-10-18
300052,5356,264,4.92905153099,44.5544554455,1977-01-14,1988-10-18
300073,798,39,4.88721804511,43.5643564356,1987-01-06,1988-10-18
404219,6645,317,4.77050413845,42.5742574257,1975-01-27,1988-10-18
300157,12088,574,4.74851091992,41.5841584158,1955-01-14,1988-10-18
300064,2195,101,4.6013667426,40.5940594059,1983-02-01,1988-10-18
403483,3156,145,4.59442332066,39.603960396,1981-01-20,1988-10-18
405305,2198,99,4.50409463148,38.6138613861,1983-02-01,1988-10-18
411801,798,35,4.38596491228,37.6237623762,1987-01-06,1988-10-18
300159,1538,66,4.29128738622,36.6336633663,1985-01-29,1988-10-18
300060,1535,65,4.2345276873,35.6435643564,1985-01-29,1988-10-18
403962,4200,171,4.07142857143,34.6534653465,1979-02-22,1988-10-18
408970,3159,126,3.9886039886,33.6633663366,1981-01-20,1988-10-18
300084,1538,60,3.90117035111,32.6732673267,1985-01-29,1988-10-18
404277,798,31,3.88471177945,31.6831683168,1987-01-06,1988-10-18
400565,8747,333,3.80701954956,30.6930693069,1971-02-10,1988-10-18
405795,4210,159,3.77672209026,29.702970297,1979-02-22,1988-10-18
300082,798,29,3.63408521303,28.7128712871,1987-01-06,1988-10-18
408252,7786,281,3.60904187002,27.7227722772,1973-01-23,1988-10-18
403142,3159,114,3.60873694207,26.7326732673,1981-01-20,1988-10-18
300086,5363,193,3.59873205296,25.7425742574,1977-01-14,1988-10-18
300154,7767,279,3.59212050985,24.7524752475,1973-01-23,1988-10-18
405310,4211,150,3.56209926383,23.7623762376,1979-02-22,1988-10-18
