ID, ideology, leadership, name, party, description, introduced_bills_103, cosponsored_bills_103, unique_cosponsors_103, total_cosponsors_103
400110, 0.279781210771, 0.683927856329, Dingell, Democrat, rank-and-file Democrat, 22, 148, 62, 96
410147, 0.914762030394, 0.790645766059, Solomon, Republican, far-right Republican leader, 80, 557, 264, 679
411488, 0.153134675248, 0.397906553439, Wheat, Democrat, far-left Democrat, 24, 252, 119, 178
400600, 0.219716128064, 0.502519510003, Moakley, Democrat, rank-and-file Democrat, 47, 165, 95, 115
408109, 0.356681044409, 0.387506347969, Neal [NC5], Democrat, rank-and-file Democrat, 25, 265, 31, 38
400571, 0.650769101173, 0.642382548733, Bliley, Republican, rank-and-file Republican, 8, 249, 219, 228
400080, 0.0927174676246, 0.808652430151, Conyers, Democrat, far-left Democratic leader, 34, 317, 148, 268
400015, 0.938470291997, 0.549093252972, Ballenger, Republican, far-right Republican, 17, 373, 159, 228
410529, 0.705815673977, 0.374644562213, Sundquist, Republican, rank-and-file Republican, 13, 272, 69, 84
407351, 0.237254162912, 0.694788163714, McCloskey, Democrat, rank-and-file Democrat, 18, 319, 233, 379
411040, 0.0689530826003, 0.526140550019, Unsoeld, Democrat, far-left Democrat, 16, 436, 117, 185
400389, 0.649185522436, 0.877041132092, Stenholm, Democrat, centrist Democratic leader, 19, 226, 362, 896
404587, 0.871752288588, 0.325413473391, Gingrich, Republican, far-right Republican, 9, 452, 66, 68
400552, 0.698812662238, 0.397356232466, Hansen, Republican, rank-and-file Republican, 11, 292, 112, 175
408556, 0.446153634122, 0.531969935042, Payne [VA5], Democrat, centrist Democrat, 14, 217, 276, 336
409442, 0.438887314566, 0.748062560247, Rowland, Democrat, centrist Democrat, 16, 163, 222, 430
411725, 0.447153894738, 0.0913404182995, Wilson, Democrat, centrist Democratic follower, 11, 356, 22, 22
400231, 0.18674726017, 0.799810230369, Lantos, Democrat, moderate Democratic leader, 23, 295, 302, 595
405313, 0.355361391145, 0.209779120652, Hefner, Democrat, rank-and-file Democrat, 4, 227, 51, 51
400504, 0.912689493816, 0.391274199983, Stump, Republican, far-right Republican, 19, 388, 132, 210
411065, 0.382356659271, 0.432114359321, Valentine, Democrat, centrist Democrat, 15, 264, 104, 132
403190, 0.380853698071, 0.359053504916, Darden, Democrat, centrist Democrat, 11, 234, 58, 61
400340, 0.636499358893, 0.272483809063, Rogers, Republican, rank-and-file Republican, 6, 179, 10, 11
400076, 0.695984437582, 0.241949740449, Coble, Republican, rank-and-file Republican, 13, 281, 62, 74
300091, 0.450302682357, 0.938741081223, Snowe, Republican, centrist Republican leader, 46, 247, 403, 911
400544, 0.618029372944, 0.773172022801, Gekas, Republican, moderate Republican leader, 19, 238, 284, 480
400326, 0.275936485589, 0.667029185119, Price, Democrat, rank-and-file Democrat, 5, 205, 98, 100
400318, 0.719133332255, 0.481865861887, Petri, Republican, rank-and-file Republican, 13, 259, 97, 117
403403, 0.369668471396, 0.346572129217, Derrick, Democrat, rank-and-file Democrat, 46, 59, 16, 17
409400, 0.307544596741, 0.604165147487, Rose, Democrat, rank-and-file Democrat, 18, 198, 127, 155
400240, 0.102262309167, 0.723366155514, Lewis [GA5], Democrat, far-left Democrat, 18, 388, 263, 775
400150, 0.606989028231, 0.238709956802, Gillmor, Republican, rank-and-file Republican, 6, 236, 64, 76
406554, 0.390311002382, 0.339113082832, Lancaster, Democrat, centrist Democrat, 12, 331, 73, 94
409052, 0.551455335455, 0.0686822608611, Ravenel, Republican, centrist Republican follower , 9, 386, 0, 0
401837, 0.353908328071, 0.653408124444, Brooks, Democrat, rank-and-file Democrat, 26, 61, 34, 60
400381, 0.78445860497, 0.679395849886, Smith [TX21], Republican, far-right Republican leader, 16, 213, 286, 627
400428, 0.628585176694, 0.795509765451, Weldon, Republican, moderate Republican leader, 13, 336, 126, 176
411677, 0.24716077209, 0.808055354384, Williams, Democrat, moderate Democratic leader, 24, 176, 241, 359
400023, 0.606632701489, 0.706464614156, Bereuter, Republican, moderate Republican leader, 19, 307, 364, 525
408052, 0.294866691494, 0.78214878647, Murphy, Democrat, moderate Democratic leader, 19, 299, 352, 696
400302, 0.355414149083, 0.533029270882, Ortiz, Democrat, rank-and-file Democrat, 13, 142, 76, 102
400085, 0.827174972374, 0.594105362774, Crane, Republican, far-right Republican, 33, 268, 159, 318
400165, 0.548986020409, 0.568472920856, Hall [TX4], Democrat, centrist Democrat, 8, 223, 247, 273
400176, 0.885438756295, 0.378922045071, Herger, Republican, far-right Republican, 12, 296, 60, 100
400534, 0.631584116729, 0.525649106282, Skeen, Republican, rank-and-file Republican, 4, 313, 31, 34
400055, 0.81000549764, 0.762338978713, Burton, Republican, far-right Republican leader, 19, 330, 278, 521
400143, 0.257316948394, 0.414514512169, Frost, Democrat, rank-and-file Democrat, 30, 762, 13, 15
401383, 0.566955835636, 0.716993866921, Bentley, Republican, moderate Republican leader, 16, 222, 147, 189
400144, 0.861154164697, 0.722911150307, Gallegly, Republican, far-right Republican leader, 28, 361, 217, 923
404401, 0.58011341944, 0.571962471363, Gallo, Republican, rank-and-file Republican, 10, 206, 128, 168
400374, 0.550010725703, 0.248487469322, Shuster, Republican, centrist Republican, 1, 107, 24, 24
406799, 0.736752369898, 0.512246879522, Lightfoot, Republican, rank-and-file Republican, 6, 269, 138, 170
408553, 0.802839640923, 0.258826108392, Paxon, Republican, far-right Republican, 8, 303, 12, 12
407672, 0.12017296179, 0.544679754354, Mfume, Democrat, far-left Democrat, 9, 200, 31, 35
404520, 0.359887257297, 0.516021299891, Gibbons, Democrat, rank-and-file Democrat, 19, 127, 131, 184
409618, 0.73179422423, 0.41835476949, Schaefer, Republican, rank-and-file Republican, 9, 220, 181, 227
400536, 0.398187195594, 1.0, Gilman, Republican, centrist Republican leader, 41, 362, 399, 1494
400281, 0.36017290268, 0.0478334490006, Mollohan, Democrat, moderate Democratic follower, 3, 142, 0, 0
400211, 0.183033534793, 0.744974422314, Kaptur, Democrat, rank-and-file Democrat, 16, 312, 121, 151
402454, 0.41328749384, 0.359686255332, Chapman, Democrat, centrist Democrat, 6, 185, 123, 158
400595, 0.182828955923, 0.726501883797, Martínez, Democrat, rank-and-file Democrat, 20, 415, 240, 454
404190, 0.0818608101868, 0.607184063173, Foglietta, Democrat, far-left Democrat, 10, 387, 150, 169
403873, 0.457180903001, 0.392802812226, English [OK6], Democrat, centrist Democrat, 10, 86, 58, 69
406790, 0.735143081101, 0.555051715804, Lewis [FL16], Republican, rank-and-file Republican, 13, 341, 206, 367
408618, 0.518249402212, 0.702217696814, Penny, Democrat, centrist Democrat, 23, 239, 173, 305
407400, 0.505280708208, 0.689650771004, McDade, Republican, centrist Republican leader, 4, 229, 222, 222
400420, 0.601177592141, 0.393661680385, Walsh, Republican, rank-and-file Republican, 5, 460, 83, 89
406873, 0.412799896347, 0.828290747222, Lloyd, Democrat, centrist Democratic leader, 12, 308, 376, 893
408839, 0.391398506692, 0.197886866657, Poshard, Democrat, centrist Democratic follower, 8, 262, 1, 1
400122, 0.158126336426, 0.798595158929, Engel, Democrat, far-left Democratic leader, 18, 548, 297, 593
400409, 0.107286127057, 0.722791780628, Towns, Democrat, far-left Democrat, 18, 550, 111, 141
