id,total_votes,missed_votes,percent,percentile,first_vote_date,last_vote_date
404629,9772,3121,31.9381907491,99.0099009901,1953-01-07,1984-10-12
300059,9348,1926,20.6033376123,98.0198019802,1963-01-31,1984-10-12
406653,5625,1143,20.32,97.0297029703,1974-01-21,1984-10-12
300056,9405,1892,20.1169590643,96.0396039604,1963-01-31,1984-10-12
401067,8392,1571,18.7202097235,95.0495049505,1967-01-18,1984-10-12
407259,7814,1336,17.0975172767,94.0594059406,1969-01-06,1984-10-12
408625,8311,1303,15.6780170858,93.0693069307,1967-01-18,1984-10-12
410894,9412,1431,15.2039949001,92.0792079208,1961-06-15,1984-10-12
405212,8226,1136,13.8098711403,91.0891089109,1967-01-18,1984-10-12
408898,2673,369,13.8047138047,90.099009901,1979-02-22,1984-10-12
406918,11597,1574,13.5724756403,89.1089108911,1949-01-03,1984-10-12
411421,7185,922,12.832289492,88.1188118812,1971-02-10,1984-10-12
405751,6241,790,12.6582278481,87.1287128713,1973-01-23,1984-10-12
401391,7193,909,12.6372862505,86.1386138614,1971-02-10,1984-10-12
410315,11903,1500,12.601865076,85.1485148515,1947-11-26,1984-10-12
407355,6236,784,12.5721616421,84.1584158416,1973-01-23,1984-10-12
300034,1614,201,12.4535315985,83.1683168317,1981-01-20,1984-10-12
405161,5120,637,12.44140625,82.1782178218,1975-01-27,1984-10-12
300053,8351,1026,12.285953778,81.1881188119,1967-01-18,1984-10-12
410242,6979,832,11.9214787219,80.198019802,1971-06-14,1984-10-12
300008,6236,743,11.9146889031,79.2079207921,1973-01-23,1984-10-12
403920,423,50,11.8203309693,78.2178217822,1983-06-16,1984-10-12
406084,6242,723,11.5828260173,77.2277227723,1973-01-23,1984-10-12
402990,7844,886,11.2952575217,76.2376237624,1969-01-06,1984-10-12
403700,7849,876,11.1606574086,75.2475247525,1969-01-06,1984-10-12
408420,7842,859,10.9538383066,74.2574257426,1969-01-06,1984-10-12
402004,5108,546,10.6891151135,73.2673267327,1975-01-27,1984-10-12
404598,5119,545,10.6466106661,72.2772277228,1975-01-27,1984-10-12
403346,3801,403,10.6024730334,71.2871287129,1977-01-14,1984-10-12
300094,7783,819,10.5229346011,70.297029703,1969-01-06,1984-10-12
410962,2670,275,10.2996254682,69.3069306931,1979-02-22,1984-10-12
408597,9805,970,9.8929117797,68.3168316832,1961-01-11,1984-10-12
400563,3819,364,9.53129091385,67.3267326733,1977-01-14,1984-10-12
300036,6235,528,8.46832397755,66.3366336634,1973-01-23,1984-10-12
411271,3823,323,8.44886215014,65.3465346535,1977-01-14,1984-10-12
403669,2669,220,8.24278756088,64.3564356436,1979-02-22,1984-10-12
300150,1618,132,8.15822002472,63.3663366337,1981-01-20,1984-10-12
407268,3818,306,8.01466736511,62.3762376238,1977-01-14,1984-10-12
407622,3800,304,8.0,61.3861386139,1977-01-14,1984-10-12
405321,3818,305,7.9884756417,60.396039604,1977-01-14,1984-10-12
402495,7197,573,7.96165068779,59.4059405941,1971-02-10,1984-10-12
403397,1619,123,7.59728227301,58.4158415842,1981-01-20,1984-10-12
401709,2672,200,7.48502994012,57.4257425743,1979-02-22,1984-10-12
409580,3814,282,7.39381227058,56.4356435644,1977-01-14,1984-10-12
405242,1618,118,7.29295426452,55.4455445545,1981-01-20,1984-10-12
300065,5110,356,6.96673189824,54.4554455446,1975-01-27,1984-10-12
408939,2673,181,6.77141788253,53.4653465347,1979-02-22,1984-10-12
403515,7844,530,6.75675675676,52.4752475248,1969-01-06,1984-10-12
409923,2671,175,6.55185323849,51.4851485149,1979-02-22,1984-10-12
300023,2671,173,6.47697491576,50.495049505,1979-02-22,1984-10-12
409225,3807,246,6.46178092987,49.504950495,1977-01-14,1984-10-12
