ID, ideology, leadership, name, party, description, introduced_bills_112, cosponsored_bills_112, unique_cosponsors_112, total_cosponsors_112
300060, 0.0686143857518, 0.764291508947, Kerry, Democrat, far-left Democratic leader, 121, 302, 77, 344
300091, 0.315378450239, 0.640541263652, Snowe, Republican, centrist Republican leader, 52, 278, 85, 331
300058, 0.261361543943, 0.540858811031, Johnson [SD], Democrat, rank-and-file Democrat, 25, 232, 99, 224
300076, 0.128465575935, 0.550027947409, Murray, Democrat, rank-and-file Democrat, 54, 254, 73, 271
300063, 0.359942878487, 0.650254348475, Landrieu, Democrat, centrist Democrat, 76, 264, 82, 338
300064, 0.0312085500769, 0.70154663335, Lautenberg, Democrat, far-left Democratic leader, 66, 291, 99, 463
300018, 0.175361852068, 0.533894932128, Cantwell, Democrat, rank-and-file Democrat, 35, 178, 62, 124
400050, 0.0643756081707, 0.574783744696, Brown [OH], Democrat, far-left Democrat, 119, 357, 75, 296
300038, 0.0967928982172, 0.820956572209, Durbin, Democrat, far-left Democratic leader, 41, 335, 100, 464
412247, 0.00727909599535, 0.659216639311, Whitehouse, Democrat, far-left Democrat, 45, 353, 99, 534
300001, 0.204297908415, 0.684368612199, Akaka, Democrat, rank-and-file Democrat, 48, 271, 99, 295
300011, 0.0750968017486, 0.668072864006, Boxer, Democrat, far-left Democrat, 71, 322, 89, 347
300087, 0.0572138240151, 0.757905630282, Schumer, Democrat, far-left Democratic leader, 149, 324, 87, 453
300048, 0.674345141216, 0.525283004209, Grassley, Republican, centrist Republican, 30, 242, 68, 160
300082, 0.296169463019, 1.0, Reid, Democrat, moderate Democratic leader, 78, 108, 100, 528
300056, 0.200822876005, 0.482637482506, Inouye, Democrat, rank-and-file Democrat, 48, 186, 37, 100
412242, 0.167728449659, 0.607228807265, Klobuchar, Democrat, rank-and-file Democrat, 96, 331, 99, 352
300065, 0.0996261988315, 0.727751012632, Leahy, Democrat, far-left Democratic leader, 57, 238, 94, 518
400272, 0.0903435850631, 0.788972781017, Menéndez, Democrat, far-left Democratic leader, 209, 288, 95, 787
300005, 0.375529034737, 0.705634423053, Baucus, Democrat, centrist Democratic leader, 63, 120, 81, 282
300009, 0.21609525328, 0.701773480104, Bingaman, Democrat, moderate Democratic leader, 58, 172, 76, 248
400064, 0.130505190511, 0.68780663331, Cardin, Democrat, rank-and-file Democrat, 60, 317, 98, 368
300093, 0.124700243434, 0.637610424077, Stabenow, Democrat, rank-and-file Democrat, 45, 254, 69, 250
300066, 0.150927613315, 0.50087323505, Levin, Democrat, rank-and-file Democrat, 76, 181, 73, 194
300073, 0.121634972323, 0.567977031341, Mikulski, Democrat, rank-and-file Democrat, 24, 297, 61, 172
300061, 0.286810653207, 0.519328884615, Kohl, Democrat, rank-and-file Democrat, 46, 139, 60, 168
300019, 0.337001948406, 0.447466384919, Carper, Democrat, rank-and-file Democrat, 36, 141, 74, 154
300081, 0.173987048961, 0.575347638941, Reed, Democrat, rank-and-file Democrat, 38, 170, 64, 247
